,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
271,Ilulissat,GL,19.42,overcast clouds,69.2167,-51.1,Hotel Arctic
272,Llandrindod Wells,GB,41.94,overcast clouds,52.2416,-3.3787,Metropole Hotel and Spa
273,Buala,SB,84.45,light rain,-8.145,159.5921,Maringe Lagoon Lodge
274,Paravur,IN,82.42,broken clouds,8.7833,76.7,Bluewater Beach Resort
275,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
276,San Ramon,US,56.28,clear sky,37.7799,-121.978,San Ramon Marriott
277,Pangnirtung,CA,19.36,overcast clouds,66.1451,-65.7125,Kilabuk Lodge
278,Port Alfred,ZA,65.17,overcast clouds,-33.5906,26.891,The Halyards Hotel
279,Tenenkou,ML,89.22,broken clouds,14.4572,-4.9169,
280,Camacha,PT,58.42,broken clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
281,Mackenzie,CA,34.02,clear sky,55.2999,-123.1698,Hilton Shop
282,Minab,IR,78.12,clear sky,27.1467,57.0801,Bam campground
283,Chuy,UY,68.74,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
284,Lompoc,US,54.93,haze,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
285,Anadyr,RU,21.7,light snow,64.75,177.4833,Отке17.ру — жильё для командированных
286,Keti Bandar,PK,82.17,overcast clouds,24.1447,67.4497,Haji laloo memon house
287,Pecos,US,77.86,clear sky,31.4229,-103.4932,Knights Inn & Suites Pecos
288,Qaqortoq,GL,27.66,overcast clouds,60.7167,-46.0333,Siniffik Inn
289,De-Kastri,RU,31.62,snow,51.4667,140.7833,Somon Hotel
290,Berlevag,NO,33.8,snow,70.8578,29.0864,Kvitbrakka
291,Ossora,RU,28.58,overcast clouds,59.2353,163.0719,
292,Ahuimanu,US,82.11,broken clouds,21.4447,-157.8378,Paradise Bay Resort
293,Panyutyne,UA,50.23,overcast clouds,48.9333,36.2833,TIR стоянка
294,Altamira,BR,72.84,overcast clouds,-3.2033,-52.2064,Requinte Hotel
295,Cidreira,BR,71.83,overcast clouds,-30.1811,-50.2056,Hotel Castelo
296,Sechura,PE,71.46,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
297,Tayoltita,MX,61.52,clear sky,24.0833,-105.9333,Hotel Rivera Tayoltita
298,Faanui,PF,81.64,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
299,Dhidhdhoo,MV,84.31,overcast clouds,6.8833,73.1,Dhidhoo beach
300,Semme,FR,50.41,broken clouds,46.1963,1.5007,Inter-Hotel Alexia
301,Minot,US,35.82,clear sky,48.2325,-101.2963,Noble Inn
302,Yumen,CN,48.43,overcast clouds,40.2833,97.2,
303,Talara,PE,70.45,overcast clouds,-4.5772,-81.2719,Hostal Oro Negro
304,Dzerzhinsk,RU,46.22,scattered clouds,56.2389,43.4631,Hotel Druzhba
305,Inirida,CO,73.99,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
306,Seymchan,RU,2.26,broken clouds,62.8833,152.4333,
307,Omboue,GA,77.11,light rain,-1.5746,9.2618,Hotel Olako
308,Ahipara,NZ,69.64,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
309,Mayo,US,44.55,clear sky,38.8876,-76.5119,Resorts Resource Group International
310,Pundaguitan,PH,84.02,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
311,Dunda,TZ,60.57,broken clouds,-8.1167,34.25,
312,Calvinia,ZA,58.24,clear sky,-31.4707,19.776,Die Lemoenhuis
313,Kindu,CD,69.21,light rain,-2.95,25.95,Résidence Okanda
314,Rawson,AR,53.82,broken clouds,-43.3002,-65.1023,Hosteria Sampedro
315,Dengzhou,CN,74.57,broken clouds,37.8086,120.7508,Greentree Inn Penglai Free Harbor Business Hotel
316,Savinka,RU,49.08,few clouds,50.0785,47.0994,
317,Malayal,PH,78.6,moderate rain,7.208,121.942,
318,Lavrentiya,RU,29.03,overcast clouds,65.5833,-171.0,
319,Lehrte,DE,38.05,scattered clouds,52.3833,9.9667,MEDIAN Hotel Hannover Lehrte
320,Fairview,US,44.55,overcast clouds,40.8126,-73.999,Homewood Suites by Hilton Edgewater-NYC Area
321,Novaya Ladoga,RU,31.5,clear sky,60.1025,32.3019,База Отдыха Горизонт
322,Bundaberg,AU,84.22,broken clouds,-24.85,152.35,Takalvan Motel
323,Palembang,ID,86.09,scattered clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
324,Yanam,IN,88.14,overcast clouds,16.7333,82.2167,The Regency Hotel
325,Pascagoula,US,69.85,clear sky,30.3658,-88.5561,Regency Inn
326,Ust-Nera,RU,8.1,few clouds,64.5667,143.2,Hotel Ust-Nera
327,Pronsk,RU,43.0,overcast clouds,54.1048,39.6092,Gostevoy Dom Pronskaya Usad'ba
328,Phan Thiet,VN,86.43,scattered clouds,10.9333,108.1,Hotel Saigon-PT
329,Pyshchug,RU,38.37,overcast clouds,58.8873,45.7134,
330,Majene,ID,84.16,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
331,Bexhill,AU,80.64,clear sky,-28.7667,153.35,Caress Care Counselling & Equine Assisted Learning
332,Kamaishi,JP,66.18,broken clouds,39.2667,141.8833,Hotel Route Inn Kamaishi
333,Coihaique,CL,48.81,overcast clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
334,Fairbanks,US,28.74,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
335,Gap,FR,24.84,overcast clouds,44.6667,6.0,La Griotte
336,Tatarsk,RU,35.31,few clouds,55.219,75.9828,Gostinitsa Neptun Tatarsk
337,Prado,BR,76.68,few clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
338,Wanaka,NZ,61.11,light rain,-44.7,169.15,Wanaka Homestead Lodge and Cottages
339,Mandalgovi,MN,29.21,broken clouds,45.7625,106.2708,В.Ганбат
340,Bubaque,GW,75.67,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
341,Antofagasta,CL,60.08,scattered clouds,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
342,Halvad,IN,83.52,scattered clouds,23.0167,71.1833,"""BHAVANI KRUPA"" Jagdishbhai H. Kariya"
343,Petrivka,UA,41.81,overcast clouds,46.9695,30.9591,
344,Biak,ID,83.79,broken clouds,-0.9131,122.8766,Penginapan Kim
345,Magistralnyy,RU,35.28,overcast clouds,56.1725,107.4458,Магистраль
346,Hami,CN,59.07,overcast clouds,42.8,93.45,Laoyutang Resort
347,Giyani,ZA,66.22,overcast clouds,-23.3025,30.7187,Kulani Country Lodge
348,Tsaratanana,MG,69.04,clear sky,-16.7833,47.65,
349,Cockburn Town,TC,77.58,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
350,Vila Velha,BR,78.75,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
351,Puerto Colombia,CO,80.69,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
352,Pasighat,IN,68.34,overcast clouds,28.0667,95.3333,Siang Guest House
353,Deputatskiy,RU,6.3,overcast clouds,69.3,139.9,Baza Otdykha
354,Freeport,US,45.25,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
355,Tabriz,IR,44.06,broken clouds,38.08,46.2919,Sina Hotel
356,Rio Grande,BR,71.94,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
357,Flinders,AU,79.88,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
358,Nouakchott,MR,64.33,broken clouds,18.0858,-15.9785,HOTEL IMAN
359,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
360,Hailar,CN,37.76,overcast clouds,49.2,119.7,Holiday Inn & Suites Hulunbuir
361,Norsup,VU,85.17,few clouds,-16.0667,167.3833,Nabelchel Bungalows
362,Arkhangelsk,RU,32.11,clear sky,64.5401,40.5433,DVINA HOTEL
363,San Jose,US,56.08,scattered clouds,37.3394,-121.895,The Westin San Jose
364,Ouegoa,NC,80.33,overcast clouds,-20.35,164.4333,
365,Tuatapere,NZ,62.22,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
366,Santa Maria,BR,67.3,broken clouds,-29.6842,-53.8069,Hotel Morotin
367,Mae Tha,TH,89.19,scattered clouds,18.4646,99.1403,Pichamol Resort and Nursing Home
368,Caravelas,BR,76.17,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
369,Bethanien,,60.24,clear sky,-26.502,17.1583,Bethanie Hotel
370,Vostok,RU,52.79,light rain,46.4856,135.8833,
371,Limni,GR,46.63,broken clouds,38.7667,23.3167,Kaminos Resort
372,Mosquera,CO,53.69,broken clouds,4.7059,-74.2302,Hotel SJ
373,Nizwa,OM,84.69,clear sky,22.9333,57.5333,Orient Apartments
374,Vozhega,RU,31.1,overcast clouds,60.4725,40.2213,гостиница Перекресток
375,Bathsheba,BB,79.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
376,Kavaratti,IN,83.48,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
377,Viamao,BR,73.67,clear sky,-30.0811,-51.0233,OM B&B + Spa
378,Lensk,RU,31.66,overcast clouds,60.7253,114.9278,ТинОрС
379,Colares,PT,59.32,overcast clouds,38.7992,-9.4469,Arribas Sintra Hotel
380,Balancan,MX,76.51,clear sky,17.8,-91.5333,Hotel Balam Ku
381,Dali,CN,68.04,clear sky,25.7,100.1833,Dali Travelling With Hostel
382,Obidos,BR,73.98,overcast clouds,-1.9175,-55.5181,Hotel Amazônia Center
383,Pacific Grove,US,54.43,scattered clouds,36.6177,-121.9166,Lovers Point Inn
384,Tobermory,CA,34.23,overcast clouds,45.2501,-81.6665,Escarpment Heights Motel
385,San Patricio,US,74.16,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
386,Waldoboro,US,44.15,few clouds,44.0954,-69.3756,Le Vatout Bed & Breakfast
387,Petrokhorion,GR,49.93,overcast clouds,41.1167,24.8333,Nestos
388,Vangaindrano,MG,72.39,moderate rain,-23.35,47.6,Hotel Fanilo
389,Chimoio,MZ,62.04,overcast clouds,-19.1164,33.4833,Predio Livraria Ahmed
390,Ganzhou,CN,83.64,clear sky,28.8184,115.4327,Zhanqian Grand Hotel
391,Lorengau,PG,84.76,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
392,Yar-Sale,RU,33.8,overcast clouds,66.8333,70.8333,Yalemd
393,Alihe,CN,38.43,overcast clouds,50.5667,123.7167,Alihe Forestry Hotel
394,Baruun-Urt,MN,37.36,overcast clouds,46.6806,113.2792,Ахмадын амралт сувилал
395,Mayya,RU,25.92,few clouds,61.7333,130.2811,
396,Las Vegas,US,70.48,clear sky,36.175,-115.1372,Plaza Hotel & Casino
397,Cap-Aux-Meules,CA,32.02,overcast clouds,47.3821,-61.8597,Château Madelinot
398,Sarkand,KZ,55.67,overcast clouds,45.41,79.9186,Гостиница Сарканд
399,Beihai,CN,75.83,clear sky,21.4833,109.1,21 Degree Hostel
400,Shunyi,CN,75.15,haze,40.125,116.6453,Beijing Mingchen Holiday Hotel
401,Kenai,US,42.89,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
402,Yulara,AU,93.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
403,Otane,NZ,63.01,clear sky,-39.8833,176.6333,Ludlow Farmstay
404,La Joya,MX,82.38,overcast clouds,18.6667,-99.4667,HOTEL Y RESTAURANTE BUGAMBILIAS
405,Ati,TD,82.13,broken clouds,13.2154,18.3353,
406,Chapadinha,BR,71.56,light rain,-3.7417,-43.3603,Chapadinhense Hotel
407,Pitimbu,BR,77.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
408,Lakatoro,VU,85.24,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
409,Haines Junction,CA,30.15,overcast clouds,60.7522,-137.5108,Parkside Inn
410,Mangrol,IN,82.9,scattered clouds,21.1167,70.1167,Hotel The Royal Honours
411,Prince Rupert,CA,44.69,clear sky,54.3161,-130.3201,Crest Hotel
412,Cervo,ES,52.34,clear sky,43.6702,-7.4101,Hotel Spa Galatea
413,Nizhniy Kuranakh,RU,28.2,light snow,58.8353,125.4869,Park Pobedy
414,Quzhou,CN,81.9,clear sky,28.9594,118.8686,Quzhou Jiujiu Business Hotel
415,Sahbuz,AZ,40.6,clear sky,39.4072,45.5739,
416,Siocon,PH,79.56,light rain,7.7061,122.1353,ABS Hotel
417,Qinzhou,CN,80.42,clear sky,21.95,108.6167,Jinjiang Inn Style Qingzhou Walmart
418,Brooks,CA,31.98,overcast clouds,50.5834,-111.8851,Heritage Inn Hotel & Convention Centre
419,Ivanivka,UA,49.86,broken clouds,46.7208,34.553,Спорт Лото
420,Spirit River,CA,30.63,broken clouds,55.7833,-118.8361,Motel 49
421,Neyshabur,IR,57.92,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
422,Matara,LK,84.22,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
423,Kondinskoye,RU,32.56,overcast clouds,59.6481,67.41,Gostinitsa
424,Houma,US,69.8,clear sky,29.5958,-90.7195,Courtyard by Marriott Houma
425,Gander,CA,28.53,overcast clouds,48.9682,-54.5906,Quality Hotel & Suites
426,Naze,JP,72.52,broken clouds,28.3667,129.4833,Shishime Hotel
427,Firminopolis,BR,70.14,broken clouds,-16.5819,-50.305,In casa hotel
428,Asau,RO,38.32,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
429,Klaksvik,FO,31.12,overcast clouds,62.2266,-6.589,Airbnb rooms
430,Sioux Lookout,CA,37.47,overcast clouds,50.1001,-91.917,Knobby's Fly-In Camps
431,Muros,ES,54.84,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
432,Dimona,IL,57.58,clear sky,31.0667,35.0333,Desert Sounds Hotel
433,Cap Malheureux,MU,75.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
434,Tuapse,RU,53.8,clear sky,44.1125,39.0742,Guest house Viktoria
435,Atar,MR,75.02,few clouds,20.5169,-13.0499,Oumou Elghoura
436,Mianwali,PK,89.06,overcast clouds,32.5741,71.5264,Hashmi Plaza
437,Conceicao Do Araguaia,BR,73.29,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
438,Imbituba,BR,75.81,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
439,Sawakin,SD,77.41,clear sky,19.1059,37.3321,فندق الدويم
440,Raga,SS,74.39,overcast clouds,8.4596,25.678,
441,Kruisfontein,ZA,59.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
442,Sao Filipe,CV,70.95,broken clouds,14.8961,-24.4956,Hotel Xaguate
443,Sistranda,NO,37.36,overcast clouds,63.7256,8.834,Hotell Frøya
444,Porto Velho,BR,75.25,clear sky,-8.7619,-63.9039,Ecos Hotel Conforto
445,Okha,RU,30.72,overcast clouds,53.5739,142.9478,Sakhalin-Sfera
446,Biankouma,CI,70.32,overcast clouds,7.7391,-7.6138,Hôtel Licolais
447,Viedma,AR,55.62,few clouds,-40.8135,-62.9967,Hotel Cristal
448,La Asuncion,VE,78.53,overcast clouds,11.0333,-63.8628,Colinas de Matasiete
449,Roebourne,AU,92.23,clear sky,-20.7833,117.1333,Latitude20 Roebourne Village
450,Kungurtug,RU,25.59,overcast clouds,50.5994,97.5228,
451,Morehead,US,65.95,clear sky,37.2711,-87.1764,CCI Express Inn
452,Padang,ID,84.25,scattered clouds,-0.9492,100.3543,Mercure Padang
453,San Cristobal,VE,73.58,broken clouds,7.7669,-72.225,Pirineos
454,Bar Harbor,US,44.28,few clouds,44.3876,-68.2039,Atlantic Oceanside Hotel & Event Center
455,Bonavista,CA,31.42,snow,48.6499,-53.1147,Sweet Sharons bnb
456,Port Hedland,AU,98.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
457,Samus,RU,26.96,scattered clouds,56.7475,84.6992,
458,Mustvee,EE,31.66,clear sky,58.8486,26.9397,Kalameeste maja
459,Petropavlovsk-Kamchatskiy,RU,37.99,broken clouds,53.0452,158.6483,The Hotel Petropavlovsky
460,Koutsouras,GR,59.11,clear sky,35.0339,25.9469,The White Houses
461,Sorland,NO,38.57,clear sky,67.667,12.6934,Sjybrygga fiskecamp
462,Bandarbeyla,SO,78.26,clear sky,9.4942,50.8122,JABIR HOTEL
463,Porciuncula,BR,69.53,few clouds,-20.9628,-42.0408,Pousada Cordeiro
464,Panzhihua,CN,78.15,clear sky,26.5851,101.7128,Electric Power Hotel
465,Alice Town,BS,71.17,clear sky,25.7167,-79.3,Bimini Big Game Club Resort & Marina
466,Inhambane,MZ,76.26,light rain,-23.865,35.3833,Oceano
467,Purranque,CL,42.28,clear sky,-40.9167,-73.1667,HOSPADAJE ERICA
468,Praia Da Vitoria,PT,57.45,broken clouds,38.7333,-27.0667,Hotel Branco I
469,Aksu,CN,65.88,clear sky,41.1231,80.2644,Pudong Holiday Hotel
470,Kualakapuas,ID,89.42,overcast clouds,-3.0091,114.3876,Guest House Izonk
471,Livingstone,ZM,61.75,overcast clouds,-17.8419,25.8543,Gloria's Bed and Breakfast
472,Lebyazhye,RU,40.33,overcast clouds,55.2689,66.4947,
473,Alibag,IN,84.27,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
474,Lakhdenpokhya,RU,32.29,overcast clouds,61.5198,30.1992,Rauhala Place
475,Korla,CN,59.59,scattered clouds,41.7597,86.1469,Gulisitan Hotel
476,Kudal,IN,82.54,overcast clouds,16.0333,73.6833,Coconut Hotel
477,Svetlyy,RU,35.65,clear sky,54.675,20.1347,"Gostinitsa-Kafe, Alena"
478,Urumqi,CN,59.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
479,Ust-Charyshskaya Pristan,RU,35.42,clear sky,52.3934,83.6635,
480,Hasaki,JP,73.8,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
481,Axim,GH,79.9,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
482,Khatra,IN,93.33,clear sky,22.9833,86.85,Aranyak Resort Mukutmanipur
483,Nicoya,CR,79.29,scattered clouds,10.1483,-85.452,Las Cabinas Del Sueño
484,Winsum,NL,36.99,overcast clouds,53.33,6.5208,Tuinhuis
485,Kokopo,PG,84.96,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
486,Taiyuan,CN,78.66,clear sky,37.8694,112.5603,Taiyuan Wanda Wenhua Hotel
487,Sao Joao Da Barra,BR,74.23,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
488,Oksfjord,NO,35.67,snow,70.2396,22.3479,
489,Samarai,PG,86.11,scattered clouds,-10.6167,150.6667,Nuli Sapi
490,Yeniseysk,RU,22.41,overcast clouds,58.4497,92.1703,"""Domino"""
491,Chicama,PE,64.94,broken clouds,-7.8447,-79.1469,Balihai Bungalows
492,Teeli,RU,35.08,broken clouds,51.0333,90.2333,
493,Togur,RU,21.58,overcast clouds,58.3631,82.8265,
494,Codrington,AU,60.57,broken clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
495,Masuda,JP,68.27,broken clouds,34.6667,131.85,Masuda Green Hotel Morris
496,Olafsvik,IS,36.36,broken clouds,64.8945,-23.7142,Hotel Olafsvik
497,Sembakung,ID,88.54,overcast clouds,3.8167,117.25,
498,Murighiol,RO,41.49,overcast clouds,45.0333,29.1667,Cristian
499,Jumla,NP,66.29,clear sky,29.2747,82.1838,Royal Garden Hotel
500,Oriximina,BR,74.25,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
501,Carora,VE,77.88,broken clouds,10.1755,-70.0827,Hotel Irpinia
502,Doctor Arroyo,MX,72.54,scattered clouds,23.6667,-100.1833,Hotel Plaza
503,Sharan,RU,41.27,overcast clouds,54.8167,54.0,
504,Jiuquan,CN,48.76,overcast clouds,39.7432,98.5174,Jiuquan Hotel
505,North Las Vegas,US,71.02,clear sky,36.1989,-115.1175,Lucky Club Hotel & Casino
506,Coachella,US,78.75,clear sky,33.6803,-116.1739,Fantasy Springs Resort Casino
507,Kudahuvadhoo,MV,84.13,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
508,Ilula,TZ,60.03,overcast clouds,-7.6766,36.0366,FM Lodge
509,Maputo,MZ,67.68,light rain,-25.9653,32.5892,Pestana Rovuma
510,Vrangel,RU,45.75,scattered clouds,42.7297,133.0839,"Отель ""БАЛИ"""
511,Gandorhun,SL,76.89,broken clouds,7.5,-11.8333,
512,Mbulu,TZ,55.17,overcast clouds,-3.85,35.5333,Pasila Lodge
513,Altay,CN,39.02,clear sky,47.8667,88.1167,Jinqiao Hotel
514,Sasykoli,RU,53.31,broken clouds,47.5515,46.9968,
515,Jalu,LY,63.84,clear sky,29.0331,21.5482,صاحبة الفخامة
516,Gazanjyk,TM,59.52,overcast clouds,39.2446,55.5154,Railway motel
517,Gagnoa,CI,73.85,scattered clouds,6.1293,-5.9437,Residence Kiliyo
518,Ridgecrest,US,66.06,clear sky,35.6225,-117.6709,SpringHill Suites by Marriott Ridgecrest
519,Pochutla,MX,80.82,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
520,Paso De Patria,AR,68.05,heavy intensity rain,-27.2454,-58.5454,"Posada Pasito's III, Paso de Patria Ñeembucú"
521,Fuyu,CN,45.46,overcast clouds,45.1833,124.8167,Education Hostel
522,Portland,US,40.84,moderate rain,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
523,Sao Miguel Do Araguaia,BR,74.91,clear sky,-13.275,-50.1628,Hotel Executivo Palace
524,Port Macquarie,AU,80.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
525,Asbestovskiy,RU,34.99,overcast clouds,57.7557,61.3967,
526,La Ronge,CA,17.85,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
527,Beringovskiy,RU,31.37,overcast clouds,63.05,179.3167,
528,Bosconia,CO,81.34,scattered clouds,9.9689,-73.8836,Hotel Jorlin
529,Chapais,CA,29.98,broken clouds,49.7834,-74.8492,Hôtel Opémiska
530,Paamiut,GL,27.19,overcast clouds,61.994,-49.6678,Pistut
531,Sabha,LY,64.17,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
532,Sao Jose Da Coroa Grande,BR,77.95,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
533,Lichinga,MZ,62.69,thunderstorm,-13.3128,35.2406,Residencial Bendiak
534,Amga,RU,25.38,overcast clouds,60.8953,131.9608,Algys
535,Chiman,PK,86.86,broken clouds,32.5463,73.8138,Master Muhammad zafar iqbal
536,Hirara,JP,79.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
537,Fredericksburg,US,44.92,clear sky,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
538,Khorinsk,RU,38.61,broken clouds,52.1657,109.7726,Uda
539,Balkanabat,TM,58.95,clear sky,39.5108,54.3671,Nebitchi Hotel
